Designator,Mid X,Mid Y,Layer,Rotation
BT1,122.6562,-64.4434,Bottom,0.0000
C1,134.1112,-40.9434,Bottom,0.0000
C2,140.6562,-40.9434,Bottom,0.0000
C3,68.6562,-87.9434,Bottom,0.0000
C4,78.6562,-87.9434,Bottom,0.0000
C5,88.6562,-87.9434,Bottom,0.0000
C8,98.6562,-87.9434,Bottom,0.0000
C9,108.6562,-87.9434,Bottom,0.0000
C10,118.6562,-87.9434,Bottom,0.0000
C11,71.4562,-44.4434,Bottom,90.0000
C12,71.5562,-49.8434,Bottom,0.0000
R1,68.6562,-40.9434,Bottom,0.0000
R2,75.2012,-40.9434,Bottom,0.0000
R3,81.7472,-40.9434,Bottom,0.0000
R4,88.2922,-40.9434,Bottom,0.0000
R5,94.8382,-40.9434,Bottom,0.0000
R6,101.3832,-40.9434,Bottom,0.0000
R9,107.9292,-40.9434,Bottom,0.0000
R10,114.4742,-40.9434,Bottom,0.0000
R11,121.0202,-40.9434,Bottom,0.0000
R12,127.5652,-40.9434,Bottom,0.0000
R14,122.6562,-88.7434,Bottom,0.0000
SW1,72.6562,-83.7434,Bottom,0.0000
SW2,84.6562,-83.7434,Bottom,0.0000
SW3,142.1112,-64.4434,Bottom,-90.0000
U1,92.6562,-63.4434,Bottom,0.0000
U2,82.1562,-45.9434,Bottom,0.0000
U4,66.8562,-46.0434,Bottom,0.0000
D1,77.6562,-47.4434,Top,0.0000
D2,77.6562,-53.8434,Top,0.0000
D3,77.6562,-60.2434,Top,0.0000
D4,77.6562,-66.6434,Top,0.0000
D5,77.6562,-73.0434,Top,0.0000
D6,77.6562,-79.4434,Top,0.0000
D7,103.4562,-43.4434,Top,0.0000
D8,103.4562,-49.1574,Top,0.0000
D9,103.4562,-54.8724,Top,0.0000
D10,103.4562,-60.5864,Top,0.0000
D11,103.4562,-66.3004,Top,0.0000
D12,103.4562,-72.0144,Top,0.0000
D13,103.4562,-77.7294,Top,0.0000
D14,103.4562,-83.4434,Top,0.0000
D15,129.2562,-41.4434,Top,0.0000
D16,129.2562,-46.3324,Top,0.0000
D17,129.2562,-51.2214,Top,0.0000
D18,129.2562,-56.1104,Top,0.0000
D19,129.2562,-60.9994,Top,0.0000
D20,129.2562,-65.8874,Top,0.0000
D21,129.2562,-70.7764,Top,0.0000
D22,129.2562,-75.6654,Top,0.0000
D23,129.2562,-80.5544,Top,0.0000
D24,129.2562,-85.4434,Top,0.0000
